stop_id,stop_name,stop_lat,stop_lon
33914,MEG Centre,12.98736,77.62262
33915,MEG Centre,12.98701,77.62255
39261,MEG Centre (KIA),12.98848,77.61742
28964,MEI Colony Laggere,13.01998,77.52075
33916,MEI Colony Laggere,13.01996,77.5207
21016,MEI Factory,13.0264,77.54402
21017,MEI Factory,13.02652,77.54439
28966,MEI Layout,13.06104,77.49947
33917,MEI Layout,13.06099,77.49943
28968,MEI Layout Arch,13.05997,77.50685
33918,MEI Layout Arch,13.05999,77.50697
33924,MES College Aradeshanahalli Road,13.21752,77.55532
21570,MES Road,13.04403,77.5543
21571,MES Road,13.04392,77.55436
21572,MG Road,12.97779,77.60204
21020,MG Road Electric B Station,12.97403,77.61279
23821,MG Road Metro Station,12.97541,77.60644
24045,MG Road Metro Station,12.97547,77.60671
21520,MG Statue (Chinnaswamy Stadium),12.97708,77.59921
22231,MG Statue (Chinnaswamy Stadium),12.97677,77.60016
22286,MG Statue (Chinnaswamy Stadium),12.97628,77.59859
28986,MG Statue (Chinnaswamy Stadium),12.97654,77.59999
28988,MGM School,12.89764,77.43272
33928,MGM School,12.8976,77.43268
23852,MICO Factory Junction,12.94428,77.60286
24136,MICO Factory Junction,12.94453,77.60276
24274,MICO Factory Junction,12.94442,77.60309
23598,MICO Gate Adugodi,12.94399,77.60532
24070,MICO Gate Adugodi,12.94426,77.60458
21021,MICO Layout BTM,12.91657,77.60427
21022,MICO Layout BTM,12.91682,77.60407
23575,MICO Layout Checkpost Gopalan mall,12.91413,77.60001
23873,MICO Layout Checkpost Gopalan mall,12.91354,77.5998
28990,MICO Shramajeevi Colony Arakere,12.88958,77.59391
39169,MLS1,13.0594,77.50701
22292,MM Industries,12.9295,77.57372
22293,MM Industries,12.92936,77.57353
29024,MM Medicals,13.0314,77.60839
22294,MN Krishna Rao Park,12.94405,77.57689
22302,MR Nursing College,13.05833,77.64863
22303,MR Nursing College,13.05824,77.64875
39108,MRB Grand Hotel,12.88851,77.51609
39109,MRB Grand Hotel,12.88835,77.51601
29048,MRV Bricks Factory,12.8051,77.46462
33955,MRV Bricks Factory,12.80496,77.46456
38026,MS Building,12.97677,77.58922
22305,MS Palya,13.08178,77.54849
33956,MS Palya,13.08181,77.5482
33957,MS Palya,13.08145,77.54831
36469,MS Palya,13.08178,77.54809
22306,MS Ramaiah College,13.02867,77.56161
22307,MS Ramaiah College,13.02857,77.56162
21029,MS Ramaiah Hospital,13.02771,77.57162
21030,MS Ramaiah Hospital,13.02814,77.57127
33958,MS Ramayya Hospital,13.02847,77.57141
38149,MTR Hotel,12.91696,77.64477
38150,MTR Hotel,12.91703,77.64485
29152,MV Solar Dabasapete Industrial Area,13.22459,77.25859
34013,MV Solar Dabaspete Industrial Area,13.22462,77.25867
22320,MVJ College Channasandra,12.98283,77.76082
22321,MVJ College Channasandra,12.98286,77.76121
29154,MVJ Medical Hospital,13.07909,77.81229
34014,MVJ Medical Hospital,13.07944,77.81199
33716,Machanahalli Dabaspete,13.18014,77.25568
28566,Machenahalli Dabaspete,13.18015,77.25553
28568,Machohalli,13.0061,77.45293
33717,Machohalli,13.00614,77.45287
28570,Machohalli Colony,12.99754,77.45136
33718,Machohalli Colony,12.99755,77.4513
21561,Machohalli Gate,12.99088,77.45429
21562,Machohalli Gate,12.99081,77.45445
33719,Machonayakanahalli,13.14509,77.38016
28575,Madagondanahalli,13.24464,77.47196
33720,Madagondanahalli,13.24478,77.47203
22232,Madanayakanahalli,13.06146,77.46102
33723,Madanayakanahalli,13.06067,77.46125
33724,Madanayakanahalli,13.06102,77.46102
33725,Madanayakanahalli,13.06132,77.46153
