route_id,route_short_name,route_long_name,route_type
401-RC,401-RC,BEL Circle ⇔ BEML Layout 5th stage,3
V-500BC,V-500BC,BEL Circle ⇔ Central Silk Board,3
MF-23B,MF-23B,BEL Circle ⇔ Jalahalli Cross,3
500-QB,500-QB,BEL Circle ⇔ KR Pura Railway Station,3
V-500QK,V-500QK,BEL Circle ⇔ Kadugodi Bus Station,3
500-D BELF-CSB,500-D,BEL Factory ⇔ Central Silk Board,3
285 BELF-HBLB-DBP,285,BEL Factory ⇔ Doddaballapura Bus Stand,3
276 BELF-KBS,276 BELF-KBS,BEL Factory ⇔ Kempegowda Bus Station,3
500-D BEML-TNF-CSB,500-D,BEML Factory ⇔ Central Silk Board,3
KBS-12HK BEMLF-HSK,KBS-12HK,BEML Factory ⇔ Hosakote Bus Stand (Old),3
333 KBS-HALM-BEMLF,333,BEML Factory ⇔ Kempegowda Bus Station,3
314 BEMLF-SBS-YHK,314,BEML Factory ⇔ Yelahanka Old Town,3
303 BEMLG-BSW,303,BEML Gate ⇔ Banasawadi,3
BEML-BGR,BEML-BGR,BEML Gate ⇔ Beguru,3
500 BEML-MRTB-CSB,500,BEML Gate ⇔ Central Silk Board,3
201-G BEMLG-ELC,201-G,BEML Gate ⇔ Electronic City,3
KBS-1K BEML-HAL-KDG,KBS-1K,BEML Gate ⇔ Kadugodi Bus Station,3
314-H MLP-SMH,314-H,BEML Gate ⇔ Summanahalli,3
BEML5-BEMLG,BEML5-BEMLG,BEML Layout 5th Stage ⇔ BEML Gate,3
D21G-ITM,D21G-ITM,BEML Layout 5th Stage ⇔ Ittamadu 1,3
225-C BEML5-JNKLO,225-C,BEML Layout 5th Stage ⇔ Jnanakshi Layout,3
BEML5-KMB,BEML5-KMB,BEML Layout 5th Stage ⇔ Kambipura,3
BEML5-KSLOW,BEML5-KSLOW,BEML Layout 5th Stage ⇔ Kumaraswamy Layout West,3
600-F BEML5-ATB,600-F,BEML Layout 5th stage ⇔ Attibele Bus Stand,3
BEML5S-BEML7S,BEML5S-BEML7S,BEML Layout 5th stage ⇔ BEML Layout Mylasandra 7th Stage,3
375-D BEML5-BSK,375-D,BEML Layout 5th stage ⇔ Banashankari Bus Station,3
BEML5-CKGP,BEML5-CKGP,BEML Layout 5th stage ⇔ Chikkegowdanapalya,3
225-CC BEML5-DRF,225-CC,BEML Layout 5th stage ⇔ Darshan Farm,3
378 BEML5-ELC,378,BEML Layout 5th stage ⇔ Electronic City 378,3
NICE-5,NICE-5,BEML Layout 5th stage ⇔ Electronic City Wipro Main Gate,3
225-CA BEML5-HAL ARDC,225-CA,BEML Layout 5th stage ⇔ HAL ARDC,3
225-C BEML5-JNSVS,225-C,BEML Layout 5th stage ⇔ Jnanakshi Vidyaniketan School,3
210-N BEML5TS-KBS,210-N,BEML Layout 5th stage ⇔ Kempegowda Bus Station,3
225-C BEMLLO-KMT-KBS,225-C,BEML Layout 5th stage ⇔ Kempegowda Bus Station,3
225-C FLY,225-C FLY,BEML Layout 5th stage ⇔ Kempegowda Bus Station,3
234 BEML5-MGH,234,BEML Layout 5th stage ⇔ Manganahalli,3
227-A BEML5-MYS,227-A,BEML Layout 5th stage ⇔ Mayasandra,3
225-C BEML5-MRBS,225-C,BEML Layout 5th stage ⇔ Mysore Road Bus Station,3
BEML5-TNC,BEML5-TNC,BEML Layout 5th stage ⇔ Nachiyar Cafe RRN,3
401-R BEML5-PTH,401-R,BEML Layout 5th stage ⇔ Puttenahalli,3
MF-14 BEML5-RRMS,MF-14,BEML Layout 5th stage ⇔ Rajarajeshwari nagara Metro Station,3
G-6 BEML5-SNBS,G-6,BEML Layout 5th stage ⇔ Shanthinagara Bus Station,3
G-6B,G-6B,BEML Layout 5th stage ⇔ Shanthinagara Bus Station,3
G-6B FLYOVER,G-6B FLYOVER,BEML Layout 5th stage ⇔ Shanthinagara Bus Station,3
BEML5-KHBQ,BEML5-KHBQ,BEML Layout 5th stage ⇔ Shirke KHB Quarters,3
212-C BEML5-SHVA,212-C,BEML Layout 5th stage ⇔ Shobha Hills View Apartment,3
401-R,401-R,BEML Layout 5th stage ⇔ Yelahanka Old Town,3
410-FB,410-FB,BEML Layout 5th stage ⇔ Yeshawanthapura Bus Station,3
285 BMSITY-YHKOT,285,BMSIT College Campous Yelahanka ⇔ Yelahanka Old Town,3
291-LA BSF-SBS,291-LA,BSF Yelahanka ⇔ Shivajinagara Bus Station,3
27 BTT-VSD-SBS,27,BTM Layout Water Tank ⇔ Shivajinagara Bus Station,3
401-BJ,401-BJ,Bagalur ⇔ Jalahalli Cross,3
293-Y,293-Y,Bagalur ⇔ KR Pura Govt Hospital,3
293-YA,293-YA,Bagalur ⇔ KR Pura Govt Hospital,3
282 BLR-VNC,282 BLR-VNC,Bagalur ⇔ Vidyanagara Cross,3
BTP-SVM,BTP-SVM,Bagmane Tech Park ⇔ Swamy Vivekananda Metro Station/Isolation Hospital,3
360-C D38G-BLR,360-C,Balluru ⇔ Depot-38 Gate,3
BSK-JNN,BSK-JNN,Banashankari Bus Station ⇔ 9th Block Jayanagara (40th Cross),3
600-A,600-A,Banashankari Bus Station ⇔ AECS Layout Singasandra,3
600-CA,600-CA,Banashankari Bus Station ⇔ Anekal,3
215-BB BSK-AJP,215-BB,Banashankari Bus Station ⇔ Anjanapura,3
600-F,600-F,Banashankari Bus Station ⇔ Attibele Bus Stand,3
600-F FLYOVER,600-F,Banashankari Bus Station ⇔ Attibele Bus Stand,3
EXP-600F,EXP-600F,Banashankari Bus Station ⇔ Attibele Bus Stand,3
V-EXP 600F,V-EXP 600F,Banashankari Bus Station ⇔ Attibele Bus Stand,3
500-BC,500-BC,Banashankari Bus Station ⇔ BEL Circle,3
500-A BSK-BELF,500-A,Banashankari Bus Station ⇔ BEL Factory,3
510,510,Banashankari Bus Station ⇔ Banashankari Bus Station,3
510-A,510-A,Banashankari Bus Station ⇔ Banashankari Bus Station,3
V-DIVYA DARSHANA-1A,V-DIVYA,Banashankari Bus Station ⇔ Banashankari Bus Station,3
MF-18 BSK-BGT,MF-18,Banashankari Bus Station ⇔ Bannerughatta Circle,3
365-BB,365-BB,Banashankari Bus Station ⇔ Bannerughatta National Park,3
375-D BSK-BCH,375-D,Banashankari Bus Station ⇔ Bengaluru Children Hospital,3
45-B BSK-BVN,45-B BSK-BVN,Banashankari Bus Station ⇔ Bhuvaneshwari Nagara Mahalakshmi Temple,3
211-NA,211-NA,Banashankari Bus Station ⇔ Bidadi,3
375-G,375-G,Banashankari Bus Station ⇔ Bidadi,3
201-G BSK-BNM,201-G,Banashankari Bus Station ⇔ Binnamangala,3
600-F BSK-BOMC,600-F,Banashankari Bus Station ⇔ Bommasandra Canara Bank,3
201-RB BSKTTMC-BTLQT,201-RB,Banashankari Bus Station ⇔ Bristol Quarters,3
378-P,378-P,Banashankari Bus Station ⇔ Chandapura,3
600-C,600-C,Banashankari Bus Station ⇔ Chandapura,3
210-X BSK-CNDRN,210-X,Banashankari Bus Station ⇔ Chandra Nagara,3
45-F BSK-CKA,45-F BSK-CKA,Banashankari Bus Station ⇔ Channammanakere Achukattu,3
410-FG,410-FG,Banashankari Bus Station ⇔ Chikka Banavara,3
500-CF,500-CF,Banashankari Bus Station ⇔ Chikka Thirupathi,3
211-AC BSK-CNV,211-AC,Banashankari Bus Station ⇔ Concorde Napa Valley,3
213-VD,213-VD,Banashankari Bus Station ⇔ Dayananda Sagara MDC,3
600-F BSK-D32,600-F,Banashankari Bus Station ⇔ Depot-32 Suryacity,3
506,506,Banashankari Bus Station ⇔ Devanagondi,3
213-WA,213-WA,Banashankari Bus Station ⇔ Dodda Maralawadi,3
378-E,378-E,Banashankari Bus Station ⇔ Electronic City 378,3
NICE-2,NICE-2,Banashankari Bus Station ⇔ Electronic City 378,3
600-QA,600-QA,Banashankari Bus Station ⇔ Electronic City East Phase-II,3
600-CF,600-CF,Banashankari Bus Station ⇔ Electronic City Wipro Main Gate,3
600-CF UFLY,600-CF UFLY,Banashankari Bus Station ⇔ Electronic City Wipro Main Gate,3
600-CK,600-CK,Banashankari Bus Station ⇔ Electronic City Wipro Main Gate,3
36-B BSK-GNE,36-B BSK-GNE,Banashankari Bus Station ⇔ Girinagara Extension,3
213-B,213-B,Banashankari Bus Station ⇔ Gundanjaneya Swamy Temple Ravagodlu,3
214-DA,214-DA,Banashankari Bus Station ⇔ Guttepalya,3
213-V,213-V,Banashankari Bus Station ⇔ Harohalli,3
EXP-213V,EXP-213V,Banashankari Bus Station ⇔ Harohalli,3
500-CF BSK-HSS,500-CF,Banashankari Bus Station ⇔ Head Start School Kommasandra,3
500-A,500-A,Banashankari Bus Station ⇔ Hebbala Bridge,3
501-A,501-A,Banashankari Bus Station ⇔ Hebbala Bridge,3
501-BH,501-BH,Banashankari Bus Station ⇔ Hebbala Bridge,3
V-500A,V-500A,Banashankari Bus Station ⇔ Hebbala Bridge,3
43-C BSK-MNKK,43-C,Banashankari Bus Station ⇔ Hoskerehalli Kerekodi,3
600-CH,600-CH,Banashankari Bus Station ⇔ Huskur,3
500-CA,500-CA,Banashankari Bus Station ⇔ ITPL,3
V-500CA,V-500CA,Banashankari Bus Station ⇔ ITPL,3
354-C BSK-JBR,354-C,Banashankari Bus Station ⇔ Jai Bheem nagara (Ado Sonnahatti),3
410-K,410-K,Banashankari Bus Station ⇔ Jalahalli Cross,3
215-H BSK-JSD,215-H,Banashankari Bus Station ⇔ Jambu Savari Dinne,3
MF-15 BSK-JSD,MF-15,Banashankari Bus Station ⇔ Jambu Savari Dinne,3
201-G,201-G,Banashankari Bus Station ⇔ Jeevanbheema Nagara,3
600-FC,600-FC,Banashankari Bus Station ⇔ Jigani APC Circle,3
211UB,211UB,Banashankari Bus Station ⇔ Judicial Layout,3
500-L BSK-KRPGH,500-L,Banashankari Bus Station ⇔ KR Pura Govt Hospital,3
500-L BSK-TNF-KRPGH,500-L,Banashankari Bus Station ⇔ KR Pura Govt Hospital,3
